MachineType,Quality,CraftingSpeed,EnergyConsumption,ModuleSlots,BaseProductivity,EnergyType
AssemblingMachine1,Normal,0.5,75000,0,0,Electric
AssemblingMachine1,Uncommon,0.65,75000,0,0,Electric
AssemblingMachine1,Rare,0.8,75000,0,0,Electric
AssemblingMachine1,Epic,0.95,75000,0,0,Electric
AssemblingMachine1,Legendary,1.25,75000,0,0,Electric
AssemblingMachine2,Normal,0.75,150000,2,0,Electric
AssemblingMachine2,Uncommon,0.975,150000,2,0,Electric
AssemblingMachine2,Rare,1.2,150000,2,0,Electric
AssemblingMachine2,Epic,1.425,150000,2,0,Electric
AssemblingMachine2,Legendary,1.875,150000,2,0,Electric
AssemblingMachine3,Normal,1.25,375000,4,0,Electric
AssemblingMachine3,Uncommon,1.625,375000,4,0,Electric
AssemblingMachine3,Rare,2,375000,4,0,Electric
AssemblingMachine3,Epic,2.375,375000,4,0,Electric
AssemblingMachine3,Legendary,3.125,375000,4,0,Electric
Foundry,Normal,4,2500000,4,0.5,Electric
Foundry,Uncommon,5.2,2500000,4,0.5,Electric
Foundry,Rare,6.4,2500000,4,0.5,Electric
Foundry,Epic,7.6,2500000,4,0.5,Electric
Foundry,Legendary,10,2500000,4,0.5,Electric
Recycler,Normal,1.25,186000,4,0,Electric
Recycler,Uncommon,1.625,186000,4,0,Electric
Recycler,Rare,2,186000,4,0,Electric
Recycler,Epic,2.375,186000,4,0,Electric
Recycler,Legendary,3.125,186000,4,0,Electric
CaptiveBiterSpawner,Normal,1,100000,0,0,Food
CaptiveBiterSpawner,Uncommon,1.3,100000,0,0,Food
CaptiveBiterSpawner,Rare,1.6,100000,0,0,Food
CaptiveBiterSpawner,Epic,1.9,100000,0,0,Food
CaptiveBiterSpawner,Legendary,2.5,100000,0,0,Food
ElectromagneticPlant,Normal,2,2000000,5,0.5,Electric
ElectromagneticPlant,Uncommon,2.6,2000000,5,0.5,Electric
ElectromagneticPlant,Rare,3.2,2000000,5,0.5,Electric
ElectromagneticPlant,Epic,3.8,2000000,5,0.5,Electric
ElectromagneticPlant,Legendary,5,2000000,5,0.5,Electric
Biochamber,Normal,2,500000,4,0.5,Nutrients
Biochamber,Uncommon,2.6,500000,4,0.5,Nutrients
Biochamber,Rare,3.2,500000,4,0.5,Nutrients
Biochamber,Epic,3.8,500000,4,0.5,Nutrients
Biochamber,Legendary,5,500000,4,0.5,Nutrients
OilRefinery,Normal,1,420000,3,0,Electric
OilRefinery,Uncommon,1.3,420000,3,0,Electric
OilRefinery,Rare,1.6,420000,3,0,Electric
OilRefinery,Epic,1.9,420000,3,0,Electric
OilRefinery,Legendary,2.5,420000,3,0,Electric
ChemicalPlant,Normal,1,210000,3,0,Electric
ChemicalPlant,Uncommon,1.3,210000,3,0,Electric
ChemicalPlant,Rare,1.6,210000,3,0,Electric
ChemicalPlant,Epic,1.9,210000,3,0,Electric
ChemicalPlant,Legendary,2.5,210000,3,0,Electric
CryogenicPlant,Normal,2,1500000,8,0,Electric
CryogenicPlant,Uncommon,2.6,1500000,8,0,Electric
CryogenicPlant,Rare,3.2,1500000,8,0,Electric
CryogenicPlant,Epic,3.8,1500000,8,0,Electric
CryogenicPlant,Legendary,5,1500000,8,0,Electric
Centrifuge,Normal,1,350000,2,0,Electric
Centrifuge,Uncommon,1.3,350000,2,0,Electric
Centrifuge,Rare,1.6,350000,2,0,Electric
Centrifuge,Epic,1.9,350000,2,0,Electric
Centrifuge,Legendary,2.5,350000,2,0,Electric
Crusher,Normal,1,540000,2,0,Electric
Crusher,Uncommon,1.3,540000,2,0,Electric
Crusher,Rare,1.6,540000,2,0,Electric
Crusher,Epic,1.9,540000,2,0,Electric
Crusher,Legendary,2.5,540000,2,0,Electric
RocketSilo,Normal,1,4000000,4,0,Electric
RocketSilo,Uncommon,1.3,4000000,4,0,Electric
RocketSilo,Rare,1.6,4000000,4,0,Electric
RocketSilo,Epic,1.9,4000000,4,0,Electric
RocketSilo,Legendary,2.5,4000000,4,0,Electric
Hand,Normal,1,0,0,0,Electric
Hand,Uncommon,1,0,0,0,Electric
Hand,Rare,1,0,0,0,Electric
Hand,Epic,1,0,0,0,Electric
Hand,Legendary,1,0,0,0,Electric
