MachineType,Quality,MiningSpeed,EnergyConsumption,ModuleSlots,BaseProductivity,ResourceDrain
BurnerMiningDrill,Normal,0.25,150000,0,0,1
BurnerMiningDrill,Uncommon,0.25,150000,0,0,0.83
BurnerMiningDrill,Rare,0.25,150000,0,0,0.66
BurnerMiningDrill,Epic,0.25,150000,0,0,0.5
BurnerMiningDrill,Legendary,0.25,150000,0,0,0.16
ElectricMiningDrill,Normal,0.5,90000,3,0,1
ElectricMiningDrill,Uncommon,0.5,90000,3,0,0.83
ElectricMiningDrill,Rare,0.5,90000,3,0,0.66
ElectricMiningDrill,Epic,0.5,90000,3,0,0.5
ElectricMiningDrill,Legendary,0.5,90000,3,0,0.16
BigMiningDrill,Normal,2.5,300000,4,0,0.5
BigMiningDrill,Uncommon,2.5,300000,4,0,0.41
BigMiningDrill,Rare,2.5,300000,4,0,0.33
BigMiningDrill,Epic,2.5,300000,4,0,0.25
BigMiningDrill,Legendary,2.5,300000,4,0,0.08
Pumpjack,Normal,1,90000,2,0,1
Pumpjack,Uncommon,1,90000,2,0,0.83
Pumpjack,Rare,1,90000,2,0,0.66
Pumpjack,Epic,1,90000,2,0,0.5
Pumpjack,Legendary,1,90000,2,0,0.16
AgriculturalTower,Normal,0.163,100000,0,0,0
AgriculturalTower,Uncommon,0.163,100000,0,0,0
AgriculturalTower,Rare,0.163,100000,0,0,0
AgriculturalTower,Epic,0.163,100000,0,0,0
AgriculturalTower,Legendary,0.163,100000,0,0,0
