ModuleType,Quality,SpeedModifier,EnergyModifier,ProductivityModifier,QualityModifier
SpeedModule,Normal,0.2,0.5,0,-0.01
SpeedModule,Uncommon,0.26,0.5,0,-0.01
SpeedModule,Rare,0.32,0.5,0,-0.01
SpeedModule,Epic,0.38,0.5,0,-0.01
SpeedModule,Legendary,0.5,0.5,0,-0.01
SpeedModule2,Normal,0.3,0.6,0,-0.015
SpeedModule2,Uncommon,0.39,0.6,0,-0.015
SpeedModule2,Rare,0.48,0.6,0,-0.015
SpeedModule2,Epic,0.57,0.6,0,-0.015
SpeedModule2,Legendary,0.75,0.6,0,-0.015
SpeedModule3,Normal,0.5,0.7,0,-0.025
SpeedModule3,Uncommon,0.65,0.7,0,-0.025
SpeedModule3,Rare,0.8,0.7,0,-0.025
SpeedModule3,Epic,0.95,0.7,0,-0.025
SpeedModule3,Legendary,1.25,0.7,0,-0.025
ProductivityModule,Normal,-0.05,0.4,0.04,0
ProductivityModule,Uncommon,-0.05,0.4,0.05,0
ProductivityModule,Rare,-0.05,0.4,0.06,0
ProductivityModule,Epic,-0.05,0.4,0.07,0
ProductivityModule,Legendary,-0.05,0.4,0.1,0
ProductivityModule2,Normal,-0.1,0.6,0.06,0
ProductivityModule2,Uncommon,-0.1,0.6,0.07,0
ProductivityModule2,Rare,-0.1,0.6,0.09,0
ProductivityModule2,Epic,-0.1,0.6,0.11,0
ProductivityModule2,Legendary,-0.1,0.6,0.15,0
ProductivityModule3,Normal,-0.15,0.8,0.1,0
ProductivityModule3,Uncommon,-0.15,0.8,0.13,0
ProductivityModule3,Rare,-0.15,0.8,0.16,0
ProductivityModule3,Epic,-0.15,0.8,0.19,0
ProductivityModule3,Legendary,-0.15,0.8,0.25,0
EfficiencyModule,Normal,0,-0.3,0,0
EfficiencyModule,Uncommon,0,-0.39,0,0
EfficiencyModule,Rare,0,-0.48,0,0
EfficiencyModule,Epic,0,-0.57,0,0
EfficiencyModule,Legendary,0,-0.75,0,0
EfficiencyModule2,Normal,0,-0.4,0,0
EfficiencyModule2,Uncommon,0,-0.52,0,0
EfficiencyModule2,Rare,0,-0.64,0,0
EfficiencyModule2,Epic,0,-0.76,0,0
EfficiencyModule2,Legendary,0,-1,0,0
EfficiencyModule3,Normal,0,-0.5,0,0
EfficiencyModule3,Uncommon,0,-0.65,0,0
EfficiencyModule3,Rare,0,-0.8,0,0
EfficiencyModule3,Epic,0,-0.95,0,0
EfficiencyModule3,Legendary,0,-1.25,0,0
QualityModule,Normal,-0.05,0,0,0.01
QualityModule,Uncommon,-0.05,0,0,0.013
QualityModule,Rare,-0.05,0,0,0.016
QualityModule,Epic,-0.05,0,0,0.019
QualityModule,Legendary,-0.05,0,0,0.025
QualityModule2,Normal,-0.05,0,0,0.02
QualityModule2,Uncommon,-0.05,0,0,0.026
QualityModule2,Rare,-0.05,0,0,0.032
QualityModule2,Epic,-0.05,0,0,0.038
QualityModule2,Legendary,-0.05,0,0,0.05
QualityModule3,Normal,-0.05,0,0,0.025
QualityModule3,Uncommon,-0.05,0,0,0.032
QualityModule3,Rare,-0.05,0,0,0.04
QualityModule3,Epic,-0.05,0,0,0.047
QualityModule3,Legendary,-0.05,0,0,0.062
